Internal File, Delivered File, Delivered Date, Contractor,  APPNO 
20190709_16452883,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16452883
20190709_16452932,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16452932
20190709_16452957,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16452957
20190709_16453016,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16453016
20190709_16453042,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16453042
20190709_16453047,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16453047
20190709_16461250,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16461250
20190709_16461303,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16461303
20190709_16462382,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16462382
20190709_16462538,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16462538
20190709_16462711,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16462711
20190709_16463013,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16463013
20190709_16470100,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16470100
20190710_16251644,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16251644
20190710_16277623,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16277623
20190710_16315488,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16315488
20190710_16315514,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16315514
20190710_16315517,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16315517
20190710_16315518,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16315518
20190710_16341001,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16341001
20190710_16343530,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16343530
20190710_16344180,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16344180
20190710_16350159,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16350159
20190710_16393511,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16393511
20190710_16397073,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16397073
20190710_16420649,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16420649
20190710_16421997,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16421997
20190710_16422196,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16422196
20190710_16423186,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16423186
20190710_16423246,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16423246
20190710_16423310,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16423310
20190710_16423555,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16423555
20190710_16423579,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16423579
20190707_16467116,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16467116
20190707_16473024,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16473024
20190707_16475523,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16475523
20190709_16160670,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16160670
20190709_16178535,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16178535
20190709_16302744,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16302744
20190709_16303063,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16303063
20190709_16303389,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16303389
20190709_16306527,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16306527
20190709_16309089,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16309089
20190709_16314596,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16314596
20190709_16317165,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16317165
20190709_16317246,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16317246
20190709_16317468,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16317468
20190709_16343106,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16343106
20190709_16343120,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16343120
20190709_16347632,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16347632
20190709_16347645,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16347645
20190702_16315039,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16315039
20190702_16315294,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16315294
20190702_16315339,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16315339
20190702_16315365,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16315365
20190702_16315367,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16315367
20190702_16315579,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16315579
20190710_16453793,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16453793
20190710_16454955,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16454955
20190710_16461735,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16461735
20190710_16463612,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16463612
20190710_16471379,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16471379
20190710_16473197,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16473197
20190710_16501068,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16501068
20190711_15757028,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,15757028
20190711_16313545,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16313545
20190711_16341814,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16341814
20190711_16343347,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16343347
20190711_16344197,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16344197
20190709_16388581,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16388581
20190709_16452068,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16452068
20190709_16452074,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16452074
20190709_16452108,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16452108
20190709_16452236,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16452236
20190709_16452515,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16452515
20190709_16452544,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16452544
20190709_16452581,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16452581
20190709_16452628,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16452628
20190711_16474166,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16474166
20190711_16501868,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16501868
20190714_15787034,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,15787034
20190714_15842283,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,15842283
20190714_16219157,20190726_CPAGlobal.tar,07/26/2019,CPAGlobal,16219157
